"company_type","name","type","dia_chi","street","street2","city","zip","country_id","vat","function","phone","email","title","user_id","company_id","pricelist","property_account_payable_id","property_account_receivable_id"
"person","Bùi Tùng Uyên Ðài","contact","số 116, xóm 6, thôn Võ Thăng, xã Nhị Bình, huyện Hóc Môn, thành phố Hồ Chí Minh","số 116, xóm 6","thôn Võ Thăng, xã Nhị Bình, huyện Hóc Môn","Hồ Chí Minh","700000","84","","Chủ shop","0960626343","buitunguyenðai@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Vũ Loan Khuê Ðắc","contact","số 168, xóm Ðoàn Hà, thôn 1, xã Thanh Đa, huyện Phúc Thọ, thành phố Hà Nội","số 168, xóm Ðoàn Hà","thôn 1, xã Thanh Đa, huyện Phúc Thọ","Hà Nội","100000","84","","Chủ shop","0887593392","vuloankhueðac@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Triệu Liên","contact","số 300, đường Diêm Hữu Chấn, phường Bình Hưng Hòa A, quận Bình Tân, thành phố Hồ Chí Minh","số 300, đường Diêm Hữu Chấn","phường Bình Hưng Hòa A, quận Bình Tân","Hồ Chí Minh","700000","84","","Chủ shop","0970727007","trieulien@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Ngân Hiệp","contact","số 7, đường Cường Quảng, phường Quỳnh Mai, quận Hai Bà Trưng, thành phố Hà Nội","số 7, đường Cường Quảng","phường Quỳnh Mai, quận Hai Bà Trưng","Hà Nội","100000","84","","Chủ shop","0937010521","nguyennganhiep@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Lê Nhất","contact","số 266, hẻm Thảo Triều, đường Võ Cao Tú, phường Phước Long B, quận Quận 9, thành phố Hồ Chí Minh","số 266, hẻm Thảo Triều","đường Võ Cao Tú, phường Phước Long B, quận Quận 9","Hồ Chí Minh","700000","84","","Chủ shop","0914184648","lenhat@gmail.com","Anh","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Tráng Trúc","contact","số 686, đường Nguyễn Trân Bích, phường Trung Mỹ Tây, quận Quận 12, thành phố Hồ Chí Minh","số 686, đường Nguyễn Trân Bích","phường Trung Mỹ Tây, quận Quận 12","Hồ Chí Minh","700000","84","","Chủ shop","0992067831","nguyentrangtruc@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Vũ Sơn Tuệ Tâm","contact","số 564, đường Phạm Trà Ly, phường Tân Mai, quận Hoàng Mai, thành phố Hà Nội","số 564, đường Phạm Trà Ly","phường Tân Mai, quận Hoàng Mai","Hà Nội","100000","84","","Chủ shop","0997174574","vusontuetam@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Huỳnh Quỳnh Diễm","contact","số 325, hẻm 19, đường Nguyễn Siêu Nguyên, phường Mân Thái, quận Sơn Trà, thành phố Đà Nẵng","số 325, hẻm 19","đường Nguyễn Siêu Nguyên, phường Mân Thái, quận Sơn Trà","Đà Nẵng","550000","84","","Chủ shop","0960107854","huynhquynhdiem@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Hạo","contact","số 93, xóm 9, thôn Ðình Vương, xã Dị Nậu, huyện Thạch Thất, thành phố Hà Nội","số 93, xóm 9","thôn Ðình Vương, xã Dị Nậu, huyện Thạch Thất","Hà Nội","100000","84","","Chủ shop","0897444671","nguyenhao@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
"person","Nguyễn Cung Dung Tôn","contact","số 640, xóm Phi Diễm, thôn 4, xã Minh Châu, huyện Ba Vì, thành phố Hà Nội","số 640, xóm Phi Diễm","thôn 4, xã Minh Châu, huyện Ba Vì","Hà Nội","100000","84","","Chủ shop","0992743251","nguyencungdungton@gmail.com","Chị","Admin UIT.IS336.L12.4","UIT.IS336.L12.4","Bảng giá niêm yết 1","331 Tài khoản phải trả thương mại","131 Khoản phải thu của khách hàng"
