"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang"
"Hoàng Khương Diệu","số 591, hẻm Thư Tuấn, đường Hậu Vy, phường 5, quận Tân Bình, thành phố Hồ Chí Minh","số 591, hẻm Thư Tuấn, đường Hậu Vy, phường 5, quận Tân Bình","thành phố Hồ Chí Minh","VN-SG","700000","VN","02277393258","0956858111","hotro@hoangkhuongdieu.vn","hoangkhuongdieu.vn","""vi_VN"""
"Nguyễn Hoạt Cơ Ðoan","số 45, xóm Phúc Bảo, thôn 3, xã An Tiến, huyện An Lão, thành phố Hải Phòng","số 45, xóm Phúc Bảo, thôn 3, xã An Tiến, huyện An Lão","thành phố Hải Phòng","VN-HP","180000","VN","02257188761","0991388470","hotro@nguyenhoatcoðoan.vn","nguyenhoatcoðoan.vn","""vi_VN"""
"Trần Uyển","số 599, đường Nguyễn Khánh Quảng, phường Tân Thới Hiệp, quận Quận 12, thành phố Hồ Chí Minh","số 599, đường Nguyễn Khánh Quảng, phường Tân Thới Hiệp, quận Quận 12","thành phố Hồ Chí Minh","VN-SG","700000","VN","02093941142","0960516716","hotro@tranuyen.vn","tranuyen.vn","""vi_VN"""
"Nguyễn Cương Ðông Hồng","số 803, đường Hùng Duyên San, phường Bình Trị Đông B, quận Bình Tân, thành phố Hồ Chí Minh","số 803, đường Hùng Duyên San, phường Bình Trị Đông B, quận Bình Tân","thành phố Hồ Chí Minh","VN-SG","700000","VN","029954095123","0897127750","hotro@nguyencuongðonghong.vn","nguyencuongðonghong.vn","""vi_VN"""
"Nguyễn Huyền Ban","số 71, đường Trần Võ Thủy, phường 16, quận Quận 4, thành phố Hồ Chí Minh","số 71, đường Trần Võ Thủy, phường 16, quận Quận 4","thành phố Hồ Chí Minh","VN-SG","700000","VN","022254337343","0986368849","hotro@nguyenhuyenban.vn","nguyenhuyenban.vn","""vi_VN"""
"Nguyễn Thi","số 470, hẻm 58, đường Nguyên Ðức, phường Tràng Tiền, quận Hoàn Kiếm, thành phố Hà Nội","số 470, hẻm 58, đường Nguyên Ðức, phường Tràng Tiền, quận Hoàn Kiếm","thành phố Hà Nội","VN-HN","100000","VN","024777999062","0900272446","hotro@nguyenthi.vn","nguyenthi.vn","""vi_VN"""
"Lê Quỳnh Trí","số 457, đường Nguyễn Huyền Phượng, phường Khương Thượng, quận Đống Đa, thành phố Hà Nội","số 457, đường Nguyễn Huyền Phượng, phường Khương Thượng, quận Đống Đa","thành phố Hà Nội","VN-HN","100000","VN","02422001470","0896394107","hotro@lequynhtri.vn","lequynhtri.vn","""vi_VN"""
"Phan Trác Tú Băng","số 861, xóm 3, thôn 9, xã Trường Xuân A, huyện Thới Lai, thành phố Cần Thơ","số 861, xóm 3, thôn 9, xã Trường Xuân A, huyện Thới Lai","thành phố Cần Thơ","VN-CT","900000","VN","029244556488","0883392253","hotro@phantractubang.vn","phantractubang.vn","""vi_VN"""
"Nguyễn Thăng","số 21, đường Quyết Uy, phường 5, quận Tân Bình, thành phố Hồ Chí Minh","số 21, đường Quyết Uy, phường 5, quận Tân Bình","thành phố Hồ Chí Minh","VN-SG","700000","VN","026122107634","0997552038","hotro@nguyenthang.vn","nguyenthang.vn","""vi_VN"""
"Vũ Hậu Phi","số 742, đường Nguyễn Dương Kiên, phường 6, quận Bình Thạnh, thành phố Hồ Chí Minh","số 742, đường Nguyễn Dương Kiên, phường 6, quận Bình Thạnh","thành phố Hồ Chí Minh","VN-SG","700000","VN","0211777976546","0909866913","hotro@vuhauphi.vn","vuhauphi.vn","""vi_VN"""
"Nguyễn Lam Vũ","số 940, xóm 9, thôn 9, xã Vĩnh Quỳnh, huyện Thanh Trì, thành phố Hà Nội","số 940, xóm 9, thôn 9, xã Vĩnh Quỳnh, huyện Thanh Trì","thành phố Hà Nội","VN-HN","100000","VN","024777934493","0892079964","hotro@nguyenlamvu.vn","nguyenlamvu.vn","""vi_VN"""
"Nguyễn Từ Huy","số 65, đường Tấn Tiến, phường 2, quận Quận 6, thành phố Hồ Chí Minh","số 65, đường Tấn Tiến, phường 2, quận Quận 6","thành phố Hồ Chí Minh","VN-SG","700000","VN","02227120407","0947671050","hotro@nguyentuhuy.vn","nguyentuhuy.vn","""vi_VN"""
"Phan Ca Hào","số 135, hẻm 6, đường Thào Toản Hồng, phường 5, quận Gò Vấp, thành phố Hồ Chí Minh","số 135, hẻm 6, đường Thào Toản Hồng, phường 5, quận Gò Vấp","thành phố Hồ Chí Minh","VN-SG","700000","VN","020444590298","0940105664","hotro@phancahao.vn","phancahao.vn","""vi_VN"""
"Võ Thiệu","số 718, xóm 1, thôn Hồng Chế, xã Vạn Thắng, huyện Ba Vì, thành phố Hà Nội","số 718, xóm 1, thôn Hồng Chế, xã Vạn Thắng, huyện Ba Vì","thành phố Hà Nội","VN-HN","100000","VN","0243699549","0973611648","hotro@vothieu.vn","vothieu.vn","""vi_VN"""
"Trần Uyển Vân","số 986, xóm 5, thôn Cảnh Trân, xã An Khánh, huyện Hoài Đức, thành phố Hà Nội","số 986, xóm 5, thôn Cảnh Trân, xã An Khánh, huyện Hoài Đức","thành phố Hà Nội","VN-HN","100000","VN","024777975069","0942678320","hotro@tranuyenvan.vn","tranuyenvan.vn","""vi_VN"""
"Nguyễn Hảo","số 187, hẻm 36, đường Đặng Chấn Tâm, phường 25, quận Bình Thạnh, thành phố Hồ Chí Minh","số 187, hẻm 36, đường Đặng Chấn Tâm, phường 25, quận Bình Thạnh","thành phố Hồ Chí Minh","VN-SG","700000","VN","02603961644","0973962887","hotro@nguyenhao.vn","nguyenhao.vn","""vi_VN"""
"Huỳnh Hồng Đan","số 315, xóm 10, thôn 3, xã Tiên Thắng, huyện Tiên Lãng, thành phố Hải Phòng","số 315, xóm 10, thôn 3, xã Tiên Thắng, huyện Tiên Lãng","thành phố Hải Phòng","VN-HP","180000","VN","02257376453","0991352977","hotro@huynhhongdan.vn","huynhhongdan.vn","""vi_VN"""
"Nguyễn Hồng Bằng Bách","số 52, xóm 3, thôn 7, xã Tiến Thịnh, huyện Mê Linh, thành phố Hà Nội","số 52, xóm 3, thôn 7, xã Tiến Thịnh, huyện Mê Linh","thành phố Hà Nội","VN-HN","100000","VN","02454485259","0896059717","hotro@nguyenhongbangbach.vn","nguyenhongbangbach.vn","""vi_VN"""
